"","Genera","n"
"1","Aureobasidium",6
"2","Botryotinia",1
"3","Bullera",1
"4","Candida",1
"5","Cladosporium",5
"6","Cystofilobasidium",2
"7","Filobasidium",1
"8","Geotrichum/Galactomyces",3
"9","Hanseniaspora (Kloechera)",2
"10","Mucor",10
"11","Neoascochyta",1
"12","Paecilomyces",5
"13","Penicillium ",77
"14","Pichia",2
"15","Rhodosporidiobolus",1
"16","Rhodotorula",4
"17","Saccharomyces",2
"18","Sporobolomyces",3
"19","Trametes",1
"20","Yarrowia",17
