Genera,Rel_abun
Yarrowia,0.21
Fusarium,0.09
Chordomyces,0.06
Penicillium,0.05
Naganishia,0.04
Sarocladium,0.03
Aureobasidium,0.03
Exophiala,0.03
Alternaria,0.03
Cladosporium,0.03
