Genera,Relative Abundance (%)
Penicillium,22.2%
Yarrowia,13.2%
Rhizopus,12.9%
Aspergillus,8.0%
Trichoderma,7.7%
Mucor,7.4%
Fungi_gen_Incertae_sedis,3.7%
Geotrichum,3.2%
Didymella,2.4%
Cladosporium,2.0%
Talaromyces,2.0%
Cystofilobasidium,1.9%
Naganishia,1.7%
Rhodosporidiobolus,1.5%
Alternaria,1.3%
Candida,1.0%
