Genera,Relative Abundance (%)
Yarrowia,11.0%
Fusarium,10.3%
Candida,5.3%
Naganishia,4.7%
Exophiala,4.6%
Penicillium,4.4%
Vishniacozyma,4.3%
Didymella,3.3%
Apiotrichum,3.1%
Aspergillus,3.0%
Cladosporium,2.8%
Cystofilobasidium,2.8%
Symmetrospora,2.8%
Alternaria,2.7%
Alternaria,2.5%
Trichoderma,2.2%
Rhizopus,2.1%
Aureobasidium,1.3%
Chaetomium,1.3%
Rhodotorula,1.2%
Filobasidium,1.1%
Rozellomycota_gen_Incertae_sedis,1.1%
Cystobasidium,1.0%
