Genera,Relative Abundance (%)
Cladosporium,8.9%
Candida,8.5%
Fusarium,6.8%
Didymella,6.8%
Penicillium,5.9%
Vishniacozyma,5.7%
Aspergillus,5.1%
Aureobasidium,5.1%
Cutaneotrichosporon,4.5%
Yarrowia,4.5%
Apiotrichum,4.2%
Mucor,2.0%
Cystobasidium,1.8%
Cystofilobasidium,1.7%
Trichoderma,1.3%
Debaryomyces,1.3%
Naganishia,1.3%
Rhodosporidiobolus,1.2%
Meyerozyma,1.1%
Exophiala,1.1%
Fungi_gen_Incertae_sedis,1.1%
Leucosporidium,1.0%
