"","Genus","mean","sum_total"
"178","g__Malasseziaceae_gen_Incertae_sedis",1,1
"179","g__Microascus",1,1
"180","g__Monilinia",1,1
"181","g__Montagnula",1,1
"182","g__Mortierella",1,1
"183","g__Mucronella",1,1
"184","g__Myxotrichum",1,1
"185","g__Nadsoniella",1,1
"186","g__Nemania",1,1
"187","g__Neoantrodia",1,1
"188","g__Neoascochyta",1,1
"189","g__Neofavolus",1,1
"190","g__Neophaeococcomyces",1,1
"191","g__Neophaeotheca",1,1
"192","g__Nigrospora",1,1
"193","g__Ochrocladosporium",1,1
"194","g__Oculimacula",1,1
"195","g__Oomyces",1,1
"196","g__Pachyella",1,1
"197","g__Pallidocercospora",1,1
"198","g__Paraphoma",1,1
"199","g__Parascedosporium",1,1
"200","g__Pascua",1,1
"201","g__Perenniporia",1,1
"202","g__Peziza",1,1
"203","g__Phaeococcomyces",1,1
"204","g__Phaeococcomycetaceae_gen_Incertae_sedis",1,1
"205","g__Phaeodothis",1,1
"206","g__Phaeosphaeria",1,1
"207","g__Phanerochaete",1,1
"208","g__Phialophora",1,1
"209","g__Phyllozyma",1,1
"210","g__Piniphoma",1,1
"211","g__Pithoascus",1,1
"212","g__Plagiostoma",1,1
"213","g__Polyporus",1,1
"214","g__Pseudolagarobasidium",1,1
"215","g__Pseudotaeniolina",1,1
"216","g__Punctularia",1,1
"217","g__Rigidoporus",1,1
"218","g__Rozellomycota_gen_Incertae_sedis",1,1
"219","g__Sawadaea",1,1
"220","g__Scopulariopsis",1,1
"221","g__Seimatosporium",1,1
"222","g__Septoriella",1,1
"223","g__Simplicillium",1,1
"224","g__Sistotrema",1,1
"225","g__Spegazzinia",1,1
"226","g__Spermospora",1,1
"227","g__Spissiomyces",1,1
"228","g__Spizellomycetales_gen_Incertae_sedis",1,1
"229","g__Sporidesmium",1,1
"230","g__Sporothrix",1,1
"231","g__Starmerella",1,1
"232","g__Steccherinum",1,1
"233","g__Stemphylium",1,1
"234","g__Stereum",1,1
"235","g__Striaticonidium",1,1
"236","g__Subulicystidium",1,1
"237","g__Torula",1,1
"238","g__Tremellales_gen_Incertae_sedis",1,1
"239","g__Trichomerium",1,1
"240","g__Ustilago",1,1
"241","g__Verrucaria",1,1
"242","g__Vibrissea",1,1
"243","g__Wallemia",1,1
"244","g__Westerdykella",1,1
"245","g__Xenasmatella",1,1
"246","g__Xylobolus",1,1
"247","g__Zygosporium",1,1
