"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"6cdcc9545d0ede903df30d66f73704e5","k__Fungi","p__","c__","o__","f__","g__","s__"
"a95c2a0d3fe9c6e396b4e2fe0a7966eb","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Issatchenkia","s__Issatchenkia_orientalis"
"ce70d76e69e7cac94a815333103fb8a2","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Basidiodendron","s__Basidiodendron_alni"
"e80d2afdf5f56ac0e7fd3399ddbf57c9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__"
"1e829da267dd7e0db38eff1790144bed","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"8911b70329abb8b188a3939f6c8c3a5b","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__"
"0d872431809414733fd6f42e8aa9bb19","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__Penicillium_multicolor"
"88631e48d306e5c86434f0bc734fa63b","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__"
"95b68801eaeb3493e9650ac03bc9ab65","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__Hymenoscyphus_menthae"
"63188c746642cad86d4a8d39e7a0bc32","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Komagataella","s__Komagataella_phaffii"
"71b123af3e3c72bfd877a4c852143d5f","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__Pichia_fermentans"
"725d0de1679133bc35c2867e03802c57","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__"
"340ed28e531295010d56b152d6f7efc2","k__Fungi","p__","c__","o__","f__","g__","s__"
"3cff072213b7e25aa926a6d346087e7b","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"be574995844253dea68f59990bb41add","k__Fungi","p__","c__","o__","f__","g__","s__"
