"","Genus","Site","Abundance","Site_Room"
"85","Didymella","Raw-WallA",62.4013403746807,"Raw-WallA"
"86","Didymella","Raw-WallA.1",76.0022095378383,"Raw-WallA"
"87","Didymella","Raw-WallB",25.3635814715777,"Raw-WallB"
"88","Didymella","Raw-WallB.1",76.061491294036,"Raw-WallB"
"89","Didymella","Ware-DoorA",2.44610106315388,"Ware-DoorA"
"90","Didymella","Ware-DoorA.1",1.73276730702522,"Ware-DoorA"
"91","Didymella","Ware-FanA",36.6636774454467,"Ware-FanA"
"92","Didymella","Ware-FanA.1",7.09908168197197,"Ware-FanA"
"93","Didymella","Ware-FloorA",4.07684793226962,"Ware-FloorA"
"94","Didymella","Ware-FloorA.1",0,"Ware-FloorA"
"95","Didymella","Ware-FloorB",21.8596496770016,"Ware-FloorB"
"96","Didymella","Ware-FloorB.1",8.05701890300589,"Ware-FloorB"
"97","Exophiala","Raw-FloorA",0.0274918813038025,"Raw-FloorA"
"98","Exophiala","Raw-FloorA.1",0.00970171632181475,"Raw-FloorA"
"99","Exophiala","Raw-FloorB",0,"Raw-FloorB"
"100","Exophiala","Raw-FloorB.1",0,"Raw-FloorB"
"101","Exophiala","Raw-WallA",6.33310610478248,"Raw-WallA"
"102","Exophiala","Raw-WallA.1",3.10292763763579,"Raw-WallA"
"103","Exophiala","Raw-WallB",0.0629690330371776,"Raw-WallB"
"104","Exophiala","Raw-WallB.1",3.48383178110719,"Raw-WallB"
"105","Exophiala","Ware-DoorA",0,"Ware-DoorA"
"106","Exophiala","Ware-DoorA.1",0,"Ware-DoorA"
"107","Exophiala","Ware-FanA",0.0738513477870971,"Ware-FanA"
"108","Exophiala","Ware-FanA.1",0,"Ware-FanA"
"109","Exophiala","Ware-FloorA",0,"Ware-FloorA"
"110","Exophiala","Ware-FloorA.1",0,"Ware-FloorA"
"111","Exophiala","Ware-FloorB",0.135833083253044,"Ware-FloorB"
"112","Exophiala","Ware-FloorB.1",0,"Ware-FloorB"
"113","Filobasidium","Raw-FloorA",0.361690063403151,"Raw-FloorA"
"114","Filobasidium","Raw-FloorA.1",54.7362015134677,"Raw-FloorA"
"115","Filobasidium","Raw-FloorB",10.0381119411794,"Raw-FloorB"
"116","Filobasidium","Raw-FloorB.1",5.68326458004263,"Raw-FloorB"
"117","Filobasidium","Raw-WallA",0.902617508644267,"Raw-WallA"
"118","Filobasidium","Raw-WallA.1",0.164242312649604,"Raw-WallA"
"119","Filobasidium","Raw-WallB",0,"Raw-WallB"
"120","Filobasidium","Raw-WallB.1",0,"Raw-WallB"
"121","Filobasidium","Ware-DoorA",0.152484222118684,"Ware-DoorA"
"122","Filobasidium","Ware-DoorA.1",0.109020631328565,"Ware-DoorA"
"123","Filobasidium","Ware-FanA",0.0861599057516133,"Ware-FanA"
"124","Filobasidium","Ware-FanA.1",0,"Ware-FanA"
"125","Filobasidium","Ware-FloorA",1.8235102572452,"Ware-FloorA"
"126","Filobasidium","Ware-FloorA.1",0,"Ware-FloorA"
"127","Filobasidium","Ware-FloorB",2.77983984331812,"Ware-FloorB"
"128","Filobasidium","Ware-FloorB.1",0.991633095754571,"Ware-FloorB"
"129","Fusarium","Raw-FloorA",3.33424972937679,"Raw-FloorA"
"130","Fusarium","Raw-FloorA.1",5.05283025524334,"Raw-FloorA"
"131","Fusarium","Raw-FloorB",40.6777517327442,"Raw-FloorB"
"132","Fusarium","Raw-FloorB.1",78.8917174009723,"Raw-FloorB"
"133","Fusarium","Raw-WallA",3.1521801621262,"Raw-WallA"
"134","Fusarium","Raw-WallA.1",0.129626219849015,"Raw-WallA"
"135","Fusarium","Raw-WallB",4.22582592944018,"Raw-WallB"
"136","Fusarium","Raw-WallB.1",2.72892925319604,"Raw-WallB"
"137","Fusarium","Ware-DoorA",0,"Ware-DoorA"
"138","Fusarium","Ware-DoorA.1",0.213085779414923,"Ware-DoorA"
"139","Fusarium","Ware-FanA",0.25847971725484,"Ware-FanA"
"140","Fusarium","Ware-FanA.1",0.193330111164814,"Ware-FanA"
"141","Fusarium","Ware-FloorA",0.18235102572452,"Ware-FloorA"
"142","Fusarium","Ware-FloorA.1",0,"Ware-FloorA"
"143","Fusarium","Ware-FloorB",18.7844518503309,"Ware-FloorB"
"144","Fusarium","Ware-FloorB.1",15.7525049065179,"Ware-FloorB"
"145","Fusicolla","Raw-FloorA",0.405505249231086,"Raw-FloorA"
"146","Fusicolla","Raw-FloorA.1",0.748796105201884,"Raw-FloorA"
"147","Fusicolla","Raw-FloorB",0.0396296733503095,"Raw-FloorB"
"148","Fusicolla","Raw-FloorB.1",0.0161020717999049,"Raw-FloorB"
"149","Fusicolla","Raw-WallA",0,"Raw-WallA"
"150","Fusicolla","Raw-WallA.1",1.12612778493832,"Raw-WallA"
"151","Fusicolla","Raw-WallB",1.0816872250496,"Raw-WallB"
"152","Fusicolla","Raw-WallB.1",0,"Raw-WallB"
"153","Fusicolla","Ware-DoorA",0.173662586301834,"Ware-DoorA"
"154","Fusicolla","Ware-DoorA.1",0,"Ware-DoorA"
"155","Fusicolla","Ware-FanA",0,"Ware-FanA"
"156","Fusicolla","Ware-FanA.1",0.38472692121798,"Ware-FanA"
"157","Fusicolla","Ware-FloorA",6.81536958645392,"Ware-FloorA"
"158","Fusicolla","Ware-FloorA.1",0,"Ware-FloorA"
"159","Fusicolla","Ware-FloorB",0.203749624879567,"Ware-FloorB"
"160","Fusicolla","Ware-FloorB.1",0,"Ware-FloorB"
"161","Geotrichum","Raw-FloorA",2.15897180363924,"Raw-FloorA"
"162","Geotrichum","Raw-FloorA.1",0.82376391314318,"Raw-FloorA"
"163","Geotrichum","Raw-FloorB",0.0269819052597852,"Raw-FloorB"
"164","Geotrichum","Raw-FloorB.1",0.00613412259043997,"Raw-FloorB"
"165","Geotrichum","Raw-WallA",7.31128395082008,"Raw-WallA"
"166","Geotrichum","Raw-WallA.1",0,"Raw-WallA"
"167","Geotrichum","Raw-WallB",0,"Raw-WallB"
"168","Geotrichum","Raw-WallB.1",0,"Raw-WallB"
"169","Geotrichum","Ware-DoorA",1.69003346181541,"Ware-DoorA"
"170","Geotrichum","Ware-DoorA.1",0.61447992203373,"Ware-DoorA"
"171","Geotrichum","Ware-FanA",2.44764466951522,"Ware-FanA"
"172","Geotrichum","Ware-FanA.1",71.0236829386177,"Ware-FanA"
"173","Geotrichum","Ware-FloorA",3.16509280364702,"Ware-FloorA"
"174","Geotrichum","Ware-FloorA.1",0.183961299993187,"Ware-FloorA"
"175","Geotrichum","Ware-FloorB",1.77372735457173,"Ware-FloorB"
"176","Geotrichum","Ware-FloorB.1",1.00196260716868,"Ware-FloorB"
"177","Naganishia","Raw-FloorA",0.969947937249781,"Raw-FloorA"
"178","Naganishia","Raw-FloorA.1",0.0555643752976663,"Raw-FloorA"
"179","Naganishia","Raw-FloorB",1.86259464746454,"Raw-FloorB"
"180","Naganishia","Raw-FloorB.1",1.23602570197365,"Raw-FloorB"
"181","Naganishia","Raw-WallA",0,"Raw-WallA"
"182","Naganishia","Raw-WallA.1",0,"Raw-WallA"
"183","Naganishia","Raw-WallB",0,"Raw-WallB"
"184","Naganishia","Raw-WallB.1",0,"Raw-WallB"
"185","Naganishia","Ware-DoorA",0,"Ware-DoorA"
"186","Naganishia","Ware-DoorA.1",0.274203406068815,"Ware-DoorA"
"187","Naganishia","Ware-FanA",0.0826431749046087,"Ware-FanA"
"188","Naganishia","Ware-FanA.1",0,"Ware-FanA"
"189","Naganishia","Ware-FloorA",1.26668837512211,"Ware-FloorA"
"190","Naganishia","Ware-FloorA.1",0,"Ware-FloorA"
"191","Naganishia","Ware-FloorB",0.65389414496233,"Ware-FloorB"
"192","Naganishia","Ware-FloorB.1",24.9251110422477,"Ware-FloorB"
"193","Papiliotrema","Raw-FloorA",0.0970807058540525,"Raw-FloorA"
"194","Papiliotrema","Raw-FloorA.1",0.200208145913813,"Raw-FloorA"
"195","Papiliotrema","Raw-FloorB",0.169480092413026,"Raw-FloorB"
