"","Genus","Door","Fan/Vent","Floor Object","Wall/Ceiling"
"1","Acremonium",0.0153664341214279,0.0580190715432989,0.0295576779891683,2.08114097881038
"2","Alternaria",2.9894027565485,1.29453864646084,0.176873968644337,0.0169312828413242
"3","Apiotrichum",3.42672073027964,0.493962247711406,4.43383274003182,0.0326497617414252
"4","Aspergillus",3.25283627594346,7.95726700081038,5.49200293836522,0.423364207337565
"5","Aureobasidium",1.41711516988174,0.610806572139735,5.42501843429922,0.159551136284287
"6","Candida",5.80354636252939,0.992338426017944,9.09319961166075,0.329972735541566
"7","Chaetomium",1.36801344147433,0.565168618796303,0.0749130153340952,0.00506593830208972
"8","Chordomyces",0.0491460202663828,0.0112777530793169,0.0230948120288935,9.46866875183601
"9","Cladosporium",3.11209033826863,2.0443001055946,9.5069890309355,6.71280156281763
"10","Cutaneotrichosporon",0.261902227704543,0.0674432952980946,4.85290073200401,0.0198369512325643
"11","Cystobasidium",1.10981841599616,0.4212205548529,1.96374306851881,2.75393765896888
"12","Cystofilobasidium",3.06873963360479,1.9211100493363,1.77412528889863,0.387323336032419
"13","Debaryomyces",0.216170143637468,0.0250715302439936,1.38361522871419,9.00379628694041
"14","Didymella",3.5698708127099,2.41317524231999,7.21697310361237,27.9159087405579
"15","Exophiala",5.05964625481187,0.0343759324555412,1.1819729332821,7.0872699801109
"16","Filobasidium",1.23832953073631,0.454713208320287,0.887530876083375,0.498757313351255
"17","Fungi_gen_Incertae_sedis",0.44346900052971,3.68579393064593,1.15039158405437,4.76996080210352
"18","Fusarium",11.3100864054877,0.412346740877374,7.23510143639894,9.65510777787646
"19","Geotrichum",0.772002930645049,3.18954349930862,0.430325406019898,0.0783184205440403
"20","Leucosporidium",0.133518064491038,0.00867923693729744,1.1155942640803,1.04947836555956
"21","Meyerozyma",0.526710956227401,0.0289401041034234,1.20545197557767,0.0324696923210889
"22","Mucor",2.72547015555345,7.37049829011666,2.12846002904486,0.125165678107176
"23","Naganishia",5.16319376560243,1.74410469112944,1.35658250027801,0.131077165886863
"24","Penicillium",4.78515132250765,22.2178946044688,6.32007413209418,0.677137828512556
"25","Pseudogymnoascus",0.0322990488645341,0.0116471339897325,0.068752189735139,1.57358003145132
"26","Rhizopus",2.27776983897749,12.9230568268975,0.552057123162517,0.0478270884771638
"27","Rhodosporidiobolus",1.07697377185542,1.53442772151621,1.28876214526008,0.012475630659953
"28","Rhodotorula",1.29067574351747,0.886601479495972,0.989405959477856,0.155998974165797
"29","Rozellomycota_gen_Incertae_sedis",1.21012284264007,0,0.328647210892115,1.3336599288045
"30","Sarocladium",0.10858046738947,0.0207829747282395,0.102817354910874,5.78792607619442
"31","Symmetrospora",3.05570049902725,0.0164712310302686,0.269212366956911,0.0523707874997626
"32","Talaromyces",0.376889322516635,1.98673613196824,0.184398348223686,0.010582761208731
"33","Trichoderma",2.357407415966,7.67206277321622,1.42062939190449,0.130874034633081
"34","Vishniacozyma",4.70562458819854,0.234971925262214,6.07916836105854,4.58051519292471
"35","Yarrowia",12.0327879798087,13.2104901345492,4.81465877720488,0.129073820022583
