"","Genus","Filling","Post-Pasteurization ","Raw","Warehouse"
"1","Acremonium",0,1.55181351393901,0.00193512589178697,0.0414399043655724
"2","Alternaria",0.795075757422895,0.0594055603862393,0.182067291186866,1.87789139341425
"3","Apiotrichum",0.282755293310636,7.22078711639241,0.702208235574065,1.84485574021453
"4","Aspergillus",1.28465086360397,0.389656775962715,0.80667896763087,7.60979188792608
"5","Aureobasidium",3.84317204648019,1.25613104213447,6.51834463585809,2.11235034959895
"6","Candida",0.594360517516162,13.0771786016304,13.976423775476,0.80545475536336
"7","Chordomyces",15.7715475598051,0,0.0888304607145142,0.0266903499565278
"8","Cladosporium",0.895409846876904,1.96111215190492,7.03057931808257,8.9019083750401
"9","Cutaneotrichosporon",0.0420631340793722,8.05335771037191,0.102227995837386,0.148447461857486
"10","Cyphellophora",0.508537054052858,1.18492858275648,0.0327012939667452,0.0208720433355333
"11","Cystobasidium",0.389541321891968,2.6581546831291,0.61489698702926,1.69547088711219
"12","Cystofilobasidium",0.850822787855872,0.162250455070452,0.12186975326153,3.39153986009704
"13","Debaryomyces",0.0266357409263602,0.0319204355800387,0.0650076879893608,4.19492549389207
"14","Didymella",4.35265393129468,31.0700193839662,3.39546729473053,1.59108905752495
"15","Exophiala",13.5604282803722,0.561984276257077,0.940738214541717,2.80310319714657
"16","Filobasidium",0.0843276404385319,0.393369903896542,1.26421271253827,1.12237088523594
"17","Fungi_gen_Incertae_sedis",0.0735523529680151,3.8000257127401,4.13948251047108,0.928050645680295
"18","Fusarium",29.7323676092495,11.1227562441901,2.53374061368781,3.25581515111326
"19","Geotrichum",0.199755634676171,0.4188986718191,3.38211048337664,0.546251058397904
"20","Leucosporidium",0.0115196268429032,0.0490493089817941,0.0232740782144988,1.25069622053684
"21","Meyerozyma",1.16738621474751,1.97990294373824,0.0325352185116014,0.0721776724876608
"22","Mucor",6.30219148360013,0.224710981971951,2.61213822620281,3.09409262337716
"23","Naganishia",0.157935754686119,0.374679833384633,0.87238474258444,3.92708941849511
"24","Penicillium",4.14536235626958,0.622170022540526,8.71229692399216,10.3276246739411
"25","Rhizopus",1.28237860514101,0.058863381274987,1.35768569783999,4.54429688755559
"26","Rhodosporidiobolus",0.611947874225156,0.19623283297889,0.138133681885467,1.73803639295121
"27","Rhodotorula",0.242012146289771,0.25020911849908,1.65985030239345,1.16225336666881
"28","Rozellomycota_gen_Incertae_sedis",0.0175944803436709,0.351256937650544,0.00137158640521392,1.19441710430425
"29","Sarocladium",8.49813678890394,0.535086550566455,0.278850844186134,0.0607570178315094
"30","Symmetrospora",0.291186441797504,0.113529912597156,0.0508559784854416,1.76077192049894
"31","Trichoderma",0.292294490544746,0.353353953990401,0.473551181502678,4.14549977362572
"32","Vishniacozyma",0.152442467745952,0.408843001760032,8.84097719212911,6.33948625746217
"33","Yarrowia",0.502050108445227,4.124151869255,25.5265715918902,5.34547293613147
