"","Genus","Door","Fan/Vent","Floor Object","Wall/Ceiling"
"1","Acremonium",0.0153664341214279,0.0580190715432989,0.0295576779891683,2.08114097881038
"2","Acrophialophora",0.00895086662749706,0.0270827509085826,0.0130429049501388,0
"3","Akanthomyces",0,0.00674032940108034,0.00132275657954394,0.00262814852192927
"4","Alternaria",2.9894027565485,1.29453864646084,0.176873968644337,0.0169312828413242
"5","Apiotrichum",3.42672073027964,0.493962247711406,4.43383274003182,0.0326497617414252
"6","Aspergillus",3.25283627594346,7.95726700081038,5.49200293836522,0.423364207337565
"7","Aureobasidium",1.41711516988174,0.610806572139735,5.42501843429922,0.159551136284287
"8","Bisifusarium",0.00504149076431913,0.00670718621162051,0.0346338276122353,0.000427287821076277
"9","Bjerkandera",0.00131694703556941,0,0.00598978165293794,0
"10","Botryotrichum",0.00232070591180275,0,0.00955935006735388,0
"11","Bullera",0.00725032297918971,0.00205100858347092,0.00577415366647451,0
"12","Cadophora",0.0210226534398416,0,0,0.00176798585611315
"13","Candida",5.80354636252939,0.992338426017944,9.09319961166075,0.329972735541566
"14","Capnodiales_gen_Incertae_sedis",0.00092019270880195,0,0.00188893831506034,0
"15","Cephaloascus",0.524967484449089,0.0912740039820212,0.0866584985374296,0.0105959056361504
"16","Ceratocystidaceae_gen_Incertae_sedis",0.00919085615755769,0.0187897533358563,0.0179922304963498,0
"17","Chaetomium",1.36801344147433,0.565168618796303,0.0749130153340952,0.00506593830208972
"18","Chaetothyriales_gen_Incertae_sedis",0.0016222339536316,0,0.633365466401386,0
"19","Chordomyces",0.0491460202663828,0.0112777530793169,0.0230948120288935,9.46866875183601
"20","Citeromyces",0.00802753476664053,0,0.00798337231769683,0
"21","Cladosporium",3.11209033826863,2.0443001055946,9.5069890309355,6.71280156281763
"22","Clavispora",0.0156579281932247,0.0290446358666334,0.108036554850873,0.00552437285798551
"23","Cleistothelebolus",0.00348787961731537,0.00212898830475758,0.00134962505469266,0.000574021595296648
"24","Clonostachys",0.134751315337803,0.0280036960520237,0.000133745939556866,0
"25","Coniochaeta",0.271405785380806,0.192161521508242,0.390246556827754,0.0143296180241681
"26","Coniosporium",0.0783860495509193,0,0.0478022859604651,0
"27","Coniothyrium",0.0754764072678758,0.00942459130185021,0.0214766052720803,0.0145235880906578
"28","Cosmospora",0.0173922303645838,0,0.00600584713962534,0.00442728741761156
"29","Cryptococcus",0.170056976552783,0.0213514195483938,0.974751766116948,0.000922679461155195
"30","Curvibasidium",0.211302414005669,0.0937853591977659,0.0159713629040849,0.000211481640372449
"31","Curvularia",0.00893603887052451,0.00134597438290279,0.00587724164836362,0
"32","Cutaneotrichosporon",0.261902227704543,0.0674432952980946,4.85290073200401,0.0198369512325643
"33","Cyberlindnera",0.146762024363983,0.0360790305524464,0.0312899421111252,0.0165198609879415
"34","Cyphellophora",0.127841005732149,0.00817377211642994,0.453030725486841,0.760470558257874
"35","Cystobasidium",1.10981841599616,0.4212205548529,1.96374306851881,2.75393765896888
"36","Cystofilobasidiaceae_gen_Incertae_sedis",0,0.00185872652877052,0.000747904882244345,0
"37","Cystofilobasidium",3.06873963360479,1.9211100493363,1.77412528889863,0.387323336032419
"38","Cytospora",0.0192541296752462,0.000897316255268528,0.00154686219004749,0
"39","Debaryomyces",0.216170143637468,0.0250715302439936,1.38361522871419,9.00379628694041
"40","Dictyosporiaceae_gen_Incertae_sedis",0.0959387210296275,0.00261126150043086,0.0360321620280663,0.500697043820033
"41","Didymella",3.5698708127099,2.41317524231999,7.21697310361237,27.9159087405579
"42","Dioszegia",0.0847522142346286,0.00852450442505102,0.733199944831326,0.0142620859790028
"43","Diplodia",0.0186530193120676,0,0,0
"44","Dipodascus",0.000945753617379782,0.000769128218801596,0.00599594891940777,0
"45","Diutina",0.00709336319446205,0.00970740957517844,0.00753102148782386,0.00265877895576457
"46","Effuseotrichosporon",0,0,0.00624755581482909,0.00133653299525449
"47","Eucasphaeria",0.0728145231418751,0,0.00101207258006217,0
"48","Exophiala",5.05964625481187,0.0343759324555412,1.1819729332821,7.0872699801109
"49","Filobasidium",1.23832953073631,0.454713208320287,0.887530876083375,0.498757313351255
"50","Fomitopsis",0,0.00566131328090178,0.00486151375722154,0
"51","Fungi_gen_Incertae_sedis",0.44346900052971,3.68579393064593,1.15039158405437,4.76996080210352
"52","Fusarium",11.3100864054877,0.412346740877374,7.23510143639894,9.65510777787646
"53","Fusicolla",0.480088559290518,0.00323805360597745,0.0379010503383487,0.0774853347130321
"54","Galactomyces",0.00608926932100908,0.0300058297040568,0.0518987855483671,0
"55","Geotrichum",0.772002930645049,3.18954349930862,0.430325406019898,0.0783184205440403
"56","Gibberella",0.00344264101057579,0,0.0142239534352169,0
"57","Gibellulopsis",0.0375723341781976,0,0.0210139360357719,0
"58","Hannaella",0.0863370520440675,0.000758918813900964,0.00747339266146867,0.000915502028909173
"59","Hanseniaspora",0.0405637051820068,0,0.000486466571519528,0
"60","Hormonema",0.00641020938225994,0.0121137694461251,0.0220828244187394,0
"61","Huntiella",0.0139613806731533,0,0.0624567277334154,0.00154132100276531
"62","Hyphopichia",0.0269506190281079,0.0403574238908367,0.00987906349143231,0
"63","Inopinatum",0.000883908620348283,0,0.0122911797801437,0
"64","Iodophanus",0.00556701549547459,0.0164455232742952,0.00036899177609579,0.00285383865699485
"65","Irpex",0.0052919017835244,0.0396563217840238,0.00369860896836676,0.000280335842339122
"66","Issatchenkia",0.0235740245616277,0.050479358218511,0.00167686328659711,0.0174442940860998
