"","Genus","Fall","Spring","Summer","Winter"
"1","Apiotrichum",6.48504321774779,1.13241307201431,2.11892173729469,0.972296900810376
"2","Aspergillus",3.16409718354597,4.94659908053325,0.53546325282621,10.9985653824397
"3","Aureobasidium",1.32972695124828,6.39972732700871,1.36743734989578,1.51562425201621
"4","Candida",3.3141800827208,4.3286940005139,5.86860544743917,9.46489654241774
"5","Cladosporium",10.2646387217085,6.98617340361877,1.83785844631233,5.86565290847873
"6","Cutaneotrichosporon",0.643859345045291,5.04450099163578,1.62081965140774,0.435422779566418
"7","Didymella",9.4311786347227,9.48484099624451,7.54729441491871,10.898674796784
"8","Exophiala",2.89668414177282,2.58059449841036,5.02659106631794,1.417981275124
"9","Fungi_gen_Incertae_sedis",0.0532252549274795,0.0996338052886711,6.37471015800528,0.260903572211061
"10","Fusarium",3.17422317151282,3.86553463673372,19.7535070070743,1.33376677052442
"11","Mucor",2.86418972810974,3.47960025681175,0.196069021960461,5.2439359749148
"12","Penicillium",12.0375235199809,8.03648019135783,1.84529132290557,7.21328589054984
"13","Vishniacozyma",6.54242935657343,5.5884586465783,1.98463078855819,4.55625810772778
"14","Yarrowia",2.56238031534846,0.396634567952689,21.130176842187,1.4280252932421
