"","Genus","Fall","Spring","Summer","Winter"
"1","Acremonium",0.0735031734990167,1.45406382473546,0,0
"2","Alternaria",3.19083425699827,0.733580761315152,0.0578106584199374,0.274516156323889
"3","Apiotrichum",6.48504321774779,1.13241307201431,2.11892173729469,0.972296900810376
"4","Aspergillus",3.16409718354597,4.94659908053325,0.53546325282621,10.9985653824397
"5","Aureobasidium",1.32972695124828,6.39972732700871,1.36743734989578,1.51562425201621
"6","Candida",3.3141800827208,4.3286940005139,5.86860544743917,9.46489654241774
"7","Chaetomium",0.071207725017364,1.56696192435786,0.0274213726364875,0.371833315718696
"8","Chordomyces",1.83669005715923,1.33116647609643,2.98367359861335,0
"9","Cladosporium",10.2646387217085,6.98617340361877,1.83785844631233,5.86565290847873
"10","Cryptococcus",0.0345255627605634,1.27164473697519,0.27891472397223,0.121337089560392
"11","Cutaneotrichosporon",0.643859345045291,5.04450099163578,1.62081965140774,0.435422779566418
"12","Cystobasidium",0.349198289061217,2.1461517470135,1.5798407195183,2.89770554156742
"13","Cystofilobasidium",0.655247086628376,2.98886764313648,1.39275264021878,3.05829154327582
"14","Debaryomyces",1.89623147578136,3.73227266720636,0,4.0254451661345
"15","Didymella",9.4311786347227,9.48484099624451,7.54729441491871,10.898674796784
"16","Dioszegia",0.0562359819392804,0.272117709136191,0.0495919619870028,1.18631782831427
"17","Exophiala",2.89668414177282,2.58059449841036,5.02659106631794,1.417981275124
"18","Filobasidium",1.2938349220994,0.682185478224632,0.586663869592951,0.89798370378093
"19","Fungi_gen_Incertae_sedis",0.0532252549274795,0.0996338052886711,6.37471015800528,0.260903572211061
"20","Fusarium",3.17422317151282,3.86553463673372,19.7535070070743,1.33376677052442
"21","Geotrichum",0.674848375566548,0.273853260714925,1.88877370971476,0.29290824776378
"22","Leucosporidium",1.22211681746585,0.619399200722976,0.00987189376074213,0.983376248117536
"23","Meyerozyma",0.730090645259647,0.587302578755301,0.00442025093764573,1.57772202808158
"24","Mucor",2.86418972810974,3.47960025681175,0.196069021960461,5.2439359749148
"25","Naganishia",4.54096582921278,2.20398981450521,0.559959032239559,1.81772875365032
"26","Penicillium",12.0375235199809,8.03648019135783,1.84529132290557,7.21328589054984
"27","Plectosphaerella",0,0,1.01918094253719,0
"28","Pseudogymnoascus",1.06703181634516,0.029053069258928,0.0474761712737305,0.0650078916053195
"29","Rhizopus",2.9431521553251,1.63526423349884,2.68241226213717,3.86761068132145
"30","Rhodosporidiobolus",1.16714464011325,2.03923054323022,0.249943511478845,0.707507264650464
"31","Rhodotorula",1.44436044827188,1.02649897490482,0.344107576863714,0.889317207972163
"32","Rozellomycota_gen_Incertae_sedis",0.137876363783822,0.45405501163516,0.128072226773681,2.79314210934532
"33","Sarocladium",0.158861625986032,0.705510606085599,2.97994064634744,0.0299384457839958
"34","Symmetrospora",1.95077769850511,1.35569343146757,0.328704471610137,0.12010666178881
"35","Talaromyces",0.717386582821053,0.299999056166471,0.0112263248891702,1.03646564245061
"36","Trichoderma",2.67222164743409,1.75479354243753,1.29002516577893,4.33854058982475
"37","Vishniacozyma",6.54242935657343,5.5884586465783,1.98463078855819,4.55625810772778
"38","Yarrowia",2.56238031534846,0.396634567952689,21.130176842187,1.4280252932421
