"","Df","SumOfSqs","R2","F","Pr(>F)"
"meta$Facility",2,2.26612643222944,0.0450639180897376,3.55163032507885,0.001
"meta$RoomType",3,3.96909589926391,0.0789289643997376,4.14709469530148,0.001
"meta$Object",3,3.0045936464699,0.0597489884287959,3.13933819919108,0.001
"meta$Season",3,3.85435560498779,0.0766472526870489,4.02720873693548,0.001
"meta$Facility:meta$RoomType:meta$Object:meta$Season",65,23.7936644506527,0.473157953858751,1.14741782080807,0.001
"Residual",42,13.3991014607529,0.266452922535929,NA,NA
"Total",118,50.2869374943567,1,NA,NA
