"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f1b9ccacb17c8c5ed8a4e6c80188ca6f","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"f564c1db02d9b30a6c38baedc0f11403","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Trechispora","s__Trechispora_sp"
"f7d8a3b29ffad08f4c6bff3308625d57","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Paramyrothecium","s__Paramyrothecium_roridum"
"f8b8421b25a110d875eb59ea2a706177","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotrys","s__Stachybotrys_chartarum"
"fc69a8aee846aff7fcbf04f936a7f3f9","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"0055061c0c02c9ddf2f747f03c763529","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__","s__"
"0059df5fc30b9815facec51d2e05acc4","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Populomyces","s__Populomyces_zwinianus"
"007835f4996972900e9fe6abac813fe5","k__Fungi","p__","c__","o__","f__","g__","s__"
"01021f0041f45344a1f0d71de2927d92","k__Fungi","p__Rozellomycota","c__Rozellomycota_cls_Incertae_sedis","o__Rozellomycota_ord_Incertae_sedis","f__Rozellomycota_fam_Incertae_sedis","g__Rozellomycota_gen_Incertae_sedis","s__Rozellomycota_sp"
"05b3306cdd2a52b7f5b42debbcfb7d9d","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Tetracoccosporium","s__Tetracoccosporium_sp"
"090dedd335ebccaaf31f2fc67293b331","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__","s__"
"09b25c189c954dcd8c12871a35e7a8f8","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"0ac57fb1fad020039cef837b0479e9a7","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leohumicola","s__Leohumicola_sp"
"0ac5aa560338ba193d9f2b3b92c0814e","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"0c0036f5e6ceda62edeaea8110a05467","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Hysteriales","f__Hysteriaceae","g__","s__"
"0f3d8486f9843d048648595f3847424a","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__","f__","g__","s__"
"0fbcb6e2628c3a78bf90600cf76806e6","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__Coniochaeta_sp"
"13a8187af8cc18778260cf719a3166f7","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Waitea","s__Waitea_circinata_var._circinata"
"13f73d0f9ba6fe7be1d6e1758c18b367","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Acrophialophora","s__Acrophialophora_fusispora"
"141816c363c7541461bb45b5ddcc2e89","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__","g__","s__"
"163afd5c84b63fa5947fc61d4e2abe53","k__Fungi","p__","c__","o__","f__","g__","s__"
"17714e985965f72e5290545996a52190","k__Fungi","p__","c__","o__","f__","g__","s__"
"1fd100c5054f4a919006ce603af9d018","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetales_fam_Incertae_sedis","g__Spizellomycetales_gen_Incertae_sedis","s__Spizellomycetales_sp"
"1fe9f61da88c7c83d3e921fb52523e08","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__Leptospora_rubella"
"21037455093805a434609377d2db5f13","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"261dd70e5bb520434b8c8faf1c07b33c","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__","s__"
"271b6473a2f7140cb8b81360b465be1c","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","s__Clitopilus_sp"
"27b0b4bd3a249f27508eb213d43439c2","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces","s__Talaromyces_piceae"
"28df1950d4f85bcf5e63cc949071ddd1","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__"
"2906be5235e645288b9d0c542c7b4399","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__Trichoderma_ghanense"
