"","OTUID","mean_abundance","sd_abundance"
"100","g__Phaeococcomyces",0.000233452429367792,0.000925941923845607
"101","g__Phaeoisaria",9.39774320049594e-05,0.000503195650092584
"102","g__Phanerochaete",0.000266395727815002,0.0014621156980788
"103","g__Phialemonium",0.000276194628772889,0.00130451185863655
"104","g__Pichia",0.00128374127323594,0.00437579899726567
"105","g__Piskurozyma",0.00546345902585903,0.017026240335441
"106","g__Plectosphaerella",0.0016296228966523,0.00876629862097426
"107","g__Pleurostoma",0.000313679096868684,0.00176674557232876
"108","g__Preussia",0.000100733856896615,0.000471595765020461
"109","g__Proceropycnis",2.99052979038379e-05,0.000133523521554444
"110","g__Pseudogymnoascus",0.00526991027909183,0.0382667835590558
"111","g__Pseudopithomyces",0.000710297343761352,0.00233534974598251
"112","g__Pseudotremella",6.98971324488658e-05,0.000325266874838602
"113","g__Pyrenochaetopsis",9.84685105803372e-05,0.000624890227202497
"114","g__Ramularia",0.000127033581296193,0.000533342983684037
"115","g__Rhizopus",0.041248233287043,0.10310078310148
"116","g__Rhodosporidiobolus",0.015776022643711,0.0306455185187591
"117","g__Rhodotorula",0.0105496844051477,0.0206842435014275
"118","g__Rozellomycota_gen_Incertae_sedis",0.0108416321775309,0.05329575861166
"119","g__Sarocladium",0.000551486777239855,0.00190242923129966
"120","g__Scopulariopsis",0.000156564992663788,0.000608375190301355
"121","g__Sistotrema",0.000213376532534744,0.00140726460118614
"122","g__Spermospora",0.00223759972725871,0.00930949474304946
"123","g__Spissiomyces",0.000162005545716621,0.000929317989067538
"124","g__Spizellomycetales_gen_Incertae_sedis",0.000201867913325152,0.00145954272469337
"125","g__Sporidiobolus",0.00727387720507851,0.0301809451001494
"126","g__Sporobolomyces",8.08374797239466e-06,4.61912425350472e-05
"127","g__Stachybotrys",0.000628952681583239,0.0027147130741278
"128","g__Stagonosporopsis",3.12502531849216e-06,2.51947595876426e-05
"129","g__Starmerella",0.000727815630995053,0.00295820837630742
"130","g__Symmetrospora",0.015982391278375,0.074094067866927
"131","g__Syncephalastrum",0.000216687054829631,0.000641649324738957
"132","g__Talaromyces",0.00768102724392795,0.0194928125804181
"133","g__Tausonia",0.00378696741301667,0.00961781805552719
"134","g__Tetracladium",0.000688158104602855,0.00271380422798534
"135","g__Thielaviopsis",5.46018164222642e-05,0.000253824454779789
"136","g__Torula",7.22506612919987e-05,0.000360525376878208
"137","g__Trametes",0.00034510141662991,0.00124361472186861
"138","g__Tremellales_gen_Incertae_sedis",0.000466180607226551,0.00220495279289048
"139","g__Tricellula",0.000493631183282446,0.0022834436515739
