"","Humid.VeryHumid","Standard..30.60.","Standard.Dry.0.30."
"Floor",1.75713810098601,0.242482894168216,-1.74130083578687
"Wall/Ceiling",1.76639539247235,1.63367306156713,-3.02713233484124
"Door",-1.48979998999922,-0.831548891599657,2.05132528715996
"Fan/Vent",-2.46166623741965,-1.04435058397882,3.08670578988529
